"id","title","description","availability","condition","price","link","image_link","brand"
"13","Celeste Ruffle Gown","A dreamy sage green gown crafted in luminous organza with delicate floral embroidery and statement cascading ruffle detailing. The flowing silhouette, elegant shimmer, and feminine design make it a perfect choice for receptions, engagement parties, cocktail evenings, and special celebrations.","in stock","new","2000/day INR","https://laxmira.net/shop/13","https://laxmira.net/uploads/gown/celeste-ruffle-lehenga-set-1.png","LAXMIRA"
"14","Midnight Sapphire Layered Gown Set","A striking sapphire blue gown set featuring intricate embroidery, shimmering embellishments, and dramatic layered organza drapes. Paired with a beautifully embroidered cropped blouse and matching embellished jacket, this statement ensemble blends contemporary elegance with regal charm, making it ideal for receptions, cocktail parties, weddings, and grand celebrations.","in stock","new","2000/day INR","https://laxmira.net/shop/14","https://laxmira.net/uploads/gown/midnight-sapphire-layered-gown-set-1.png","LAXMIRA"
"15","Sage Aura Cape Palazzo Set","A sophisticated sage green ensemble featuring an exquisitely embellished crop top paired with flowing draped palazzo pants and an elegant cape-style overlay. Designed with shimmering embroidery and graceful silhouettes, this contemporary ethnic outfit offers effortless glamour for receptions, engagement ceremonies, festive occasions, and evening celebrations.","in stock","new","1000/day INR","https://laxmira.net/shop/15","https://laxmira.net/uploads/suits/sage-aura-cape-palazzo-set-1.png","LAXMIRA"
"16","Blush Stardust Sequin Lehenga Set","A dazzling blush pink lehenga set embellished with shimmering sequins and delicate sparkle detailing throughout. Featuring a stylish embellished blouse and a graceful attached drape accentuated with floral shoulder embellishments, this ensemble radiates modern glamour and elegance, making it perfect for receptions, cocktail parties, engagements, and grand celebrations.","in stock","new","3500/day INR","https://laxmira.net/shop/16","https://laxmira.net/uploads/lehenga/blush-stardust-sequin-lehenga-set-1.png","LAXMIRA"
"17","Blush Royale Indo-Western Set","A sophisticated blush pink Indo-Western ensemble featuring a flowing floor-length gown paired with an intricately embellished jacket-style bodice. Adorned with delicate mirror, bead, and thread embroidery, this contemporary outfit beautifully blends traditional craftsmanship with modern elegance, making it an ideal choice for receptions, engagement ceremonies, festive gatherings, and special occasions.","in stock","new","900/day INR","https://laxmira.net/shop/17","https://laxmira.net/uploads/suits/blush-royale-indo-western-set-1.png","LAXMIRA"
"18","Ivory Bloom Cape Lehenga Set","A graceful ivory lehenga set adorned with vibrant floral prints and paired with a heavily embellished blouse. The statement cape-style net drape, embellished with delicate shimmer detailing, adds a contemporary touch to this elegant ensemble. Perfectly balancing modern glamour and timeless charm, this outfit is ideal for weddings, receptions, engagement ceremonies, and festive celebrations.","in stock","new","2000/day INR","https://laxmira.net/shop/18","https://laxmira.net/uploads/lehenga/ivory-bloom-cape-lehenga-set-1.png","LAXMIRA"
"19","Rose Gold Shimmer Gown","A stunning rose gold evening gown crafted with luxurious shimmer fabric and a beautifully embellished bodice. The intricate sequin and beadwork on the fitted upper silhouette flows into a voluminous floor-length skirt, creating a graceful and sophisticated look. Perfect for receptions, cocktail parties, engagement celebrations, and glamorous evening events.","in stock","new","2500/day INR","https://laxmira.net/shop/19","https://laxmira.net/uploads/lehenga/rose-gold-shimmer-gown-1.png","LAXMIRA"
"20","Heritage Peach Floral Lehenga Set","A timeless peach lehenga adorned with intricate floral prints and rich traditional motifs, paired with a beautifully embroidered blouse and a delicate net dupatta. The contrasting maroon and green detailing adds regal charm, making this ensemble a perfect choice for weddings, festive celebrations, and special occasions.","in stock","new","2500/day INR","https://laxmira.net/shop/20","https://laxmira.net/uploads/lehenga/heritage-Peach-Floral-Lehenga-Set-1.png","LAXMIRA"
"21","Royal Violet Festive Lehenga","A graceful violet lehenga set featuring intricate thread and sequin embroidery throughout the blouse and skirt. The richly patterned panels, embellished border, and lightweight net dupatta create a sophisticated festive look without the heaviness of a bridal ensemble. Perfect for wedding guests, sangeet nights, festive gatherings, and special celebrations.","in stock","new","2500/day INR","https://laxmira.net/shop/21","https://laxmira.net/uploads/lehenga/royal-violet-festive-lehenga-1.png","LAXMIRA"
"22","Champagne Stardust Mermaid Lehenga","A glamorous champagne-toned fish cut lehenga adorned with intricate sequin and geometric embroidery. Designed to accentuate the silhouette, this elegant ensemble features a fitted embroidered skirt, embellished blouse, and a delicately detailed net dupatta. Perfect for engagement ceremonies, receptions, cocktail evenings, and contemporary festive celebrations.","in stock","new","5500/day INR","https://laxmira.net/shop/22","https://laxmira.net/uploads/lehenga/champagne-stardust-mermaid-lehenga-1.png","LAXMIRA"
"23","Sunset Rani Brocade Lehenga","A vibrant lehenga set showcasing a striking blend of sunset orange and rani pink hues, enriched with intricate brocade weaving and traditional zari craftsmanship. Paired with an embellished blouse and a shimmering net dupatta, this ensemble radiates festive elegance and timeless charm. A perfect choice for wedding functions, festive celebrations, and cultural occasions.","in stock","new","4000/day INR","https://laxmira.net/shop/23","https://laxmira.net/uploads/lehenga/sunset-rani-brocade-lehenga-1.png","LAXMIRA"
"24","Lavender Regal Jacket Lehenga","A sophisticated lavender lehenga set featuring intricate all-over embroidery, paired with a stylish embroidered blouse and a matching cropped jacket. The delicate pastel hue and ornate craftsmanship create a contemporary ethnic look that is both elegant and versatile. Perfect for engagement ceremonies, receptions, festive gatherings, and wedding celebrations.","in stock","new","2000/day INR","https://laxmira.net/shop/24","https://laxmira.net/uploads/lehenga/lavender-regal-jacket-lehenga-1.png","LAXMIRA"
"25","Champagne Éclat Lehenga","A breathtaking champagne-toned lehenga adorned with intricate sequin, bead, and shimmer embroidery that radiates elegance from every angle. Paired with a delicately embellished blouse and a soft net dupatta, this ensemble creates a refined statement for modern celebrations. Perfect for engagements, receptions, cocktail evenings, and grand festive occasions.","in stock","new","4500/day INR","https://laxmira.net/shop/25","https://laxmira.net/uploads/lehenga/champagne-eclat-lehenga-1.png","LAXMIRA"
"26","Emerald Royale Lehenga","A luxurious emerald green lehenga embellished with intricate gold-toned embroidery and shimmering sequin work. Paired with a beautifully crafted blouse, elegant net dupatta, and matching potli bag, this ensemble exudes regal sophistication. Perfect for wedding celebrations, receptions, festive occasions, and grand evening events.","in stock","new","3500/day INR","https://laxmira.net/shop/26","https://laxmira.net/uploads/lehenga/emerald-royale-lehenga-1.png","LAXMIRA"
"27","Velvet Amethyst Lehenga","A regal velvet lehenga in a rich amethyst purple hue, accentuated with intricate gold-toned borders and elegant traditional detailing. Paired with a structured velvet blouse and a delicate net dupatta, this ensemble strikes the perfect balance between royal charm and contemporary sophistication. Ideal for wedding festivities, receptions, sangeet nights, and grand celebrations.","in stock","new","3500/day INR","https://laxmira.net/shop/27","https://laxmira.net/uploads/lehenga/velvet-amethyst-lehenga-1.png","LAXMIRA"
"28","Blush Beige Floral Organza Saree","A graceful blush beige saree crafted in sheer organza, adorned with delicate floral embroidery and intricate lace border detailing. The soft pastel tone and elegant craftsmanship create a timeless look that is perfect for daytime celebrations, festive gatherings, and sophisticated occasions.","in stock","new","3300 INR","https://laxmira.net/shop/28","https://laxmira.net/uploads/saree/blush-beige-floral-organza-saree-1.png","LAXMIRA"
"29","Ruby Diamond Sequin Saree","A captivating ruby red silk saree adorned with shimmering diamond-pattern sequin embroidery and delicate lace border detailing. The rich silk drape combined with sparkling embellishments creates a graceful statement, making it a perfect choice for festive celebrations, wedding functions, receptions, and evening occasions.","in stock","new","5590 INR","https://laxmira.net/shop/29","https://laxmira.net/uploads/saree/ruby-diamond-sequin-saree-1.png","LAXMIRA"
"30","Lilac Blossom Sequin Saree","A graceful purple silk saree adorned with shimmering sequin lattice embroidery and intricate handcrafted border detailing. The soft lilac-purple hue combined with sparkling embellishments creates an elegant and contemporary festive look, perfect for receptions, cocktail evenings, engagement ceremonies, festive gatherings, and special celebrations.","in stock","new","5590 INR","https://laxmira.net/shop/30","https://laxmira.net/uploads/saree/lilac-blossom-sequin-saree-1.png","LAXMIRA"
"31","Rose Gold Bloom Saree","A stunning pink silk saree adorned with delicate floral embroidery and intricate rose gold embellishments throughout. The graceful drape, scalloped embroidered borders, and shimmering handcrafted details create a timeless festive look, making it an elegant choice for weddings, receptions, festive celebrations, and evening occasions.","in stock","new","5590 INR","https://laxmira.net/shop/31","https://laxmira.net/uploads/saree/rose-gold-bloom-saree-1.png","LAXMIRA"
"32","Emerald Grace Embroidered Saree","A luxurious green silk saree featuring intricate floral embroidery and elegant zari-inspired detailing along the borders and pallu. The vibrant emerald and lime green combination, paired with a graceful sheen, creates a regal festive look perfect for weddings, celebrations, traditional gatherings, and special occasions.","in stock","new","3300 INR","https://laxmira.net/shop/32","https://laxmira.net/uploads/saree/emerald-grace-embroidered-saree-1.png","LAXMIRA"
"33","Ruby Red Floral Embroidered Saree","A luxurious red silk saree adorned with intricate floral embroidery and elegant zari-inspired detailing along the borders and pallu. The rich ruby red hue, combined with delicate handcrafted motifs and a lustrous silk finish, creates a timeless festive ensemble perfect for weddings, celebrations, traditional gatherings, and special occasions.","in stock","new","3300 INR","https://laxmira.net/shop/33","https://laxmira.net/uploads/saree/ruby-red-floral-embroidered-saree-1.png","LAXMIRA"
"34","Turquoise Bird Motif Saree","A graceful green silk saree featuring exquisite bird-inspired motifs and intricate floral embroidery throughout. The refreshing turquoise and emerald green tones, paired with delicate zari-inspired detailing, create a sophisticated ethnic look perfect for festive celebrations, family functions, cultural gatherings, and special occasions.","in stock","new","3800 INR","https://laxmira.net/shop/34","https://laxmira.net/uploads/saree/turquoise-bird-motif-saree-1.png","LAXMIRA"
"35","Rani Pink Bird Motif Saree","A vibrant pink silk saree adorned with elegant bird-inspired motifs and intricate floral embroidery throughout. The rich rani pink hue, combined with ornate embroidered borders and delicate handcrafted detailing, creates a timeless festive ensemble perfect for weddings, celebrations, traditional gatherings, and special occasions.","in stock","new","3800 INR","https://laxmira.net/shop/35","https://laxmira.net/uploads/saree/ranipink-bird-motif-saree-1.png","LAXMIRA"
"36","Mint Blossom Embroidered Saree","A graceful green silk saree featuring delicate floral embroidery and elegant handcrafted detailing throughout. The refreshing mint green and soft yellow dual-tone palette adds a contemporary charm, while the intricate embroidered border and floral motifs create a sophisticated festive look. Perfect for daytime celebrations, weddings, festive gatherings, and special occasions.","in stock","new","3800 INR","https://laxmira.net/shop/36","https://laxmira.net/uploads/saree/mint-blossom-embroidered-saree-1.png","LAXMIRA"
"37","Royal Fuchsia Checkered Saree","A striking pink silk saree adorned with an elegant checkered embroidery pattern and intricate floral motifs. The rich fuchsia hue combined with delicate handcrafted detailing creates a sophisticated festive look. Finished with decorative tassels on the pallu, this saree is perfect for weddings, festive celebrations, cultural gatherings, and special occasions.","in stock","new","2899 INR","https://laxmira.net/shop/37","https://laxmira.net/uploads/saree/royal-fuchsia-checkered-saree-1.png","LAXMIRA"
"38","Regal Amethyst Checkered Saree","A luxurious purple silk saree featuring an elegant checkered embroidery pattern accented with delicate floral motifs. The rich amethyst tone paired with intricate zari-inspired detailing creates a graceful and festive silhouette. Finished with charming tassel accents on the pallu, this saree is an ideal choice for weddings, festive gatherings, receptions, and special celebrations.","in stock","new","2899 INR","https://laxmira.net/shop/38","https://laxmira.net/uploads/saree/regal-amethyst-checkered-saree-1.png","LAXMIRA"
"39","Scarlet Heritage Banarasi Saree","A timeless red silk saree adorned with classic woven patterns, regal gold zari borders, and traditional checkered detailing on the pallu. The rich scarlet hue and heritage-inspired craftsmanship create an elegant festive look, making it perfect for weddings, cultural celebrations, festive occasions, and family gatherings.","in stock","new","2250 INR","https://laxmira.net/shop/39","https://laxmira.net/uploads/saree/scarlet-heritage-banarasi-saree-1.png","LAXMIRA"
"40","Crimson Lotus Border Saree","A graceful red silk saree highlighted with delicate gold motifs and an exquisite multicolor floral border inspired by traditional lotus patterns. The vibrant crimson shade paired with intricate craftsmanship creates a refined festive look, making it an ideal choice for weddings, festive celebrations, religious occasions, and cultural events.","in stock","new","2250 INR","https://laxmira.net/shop/40","https://laxmira.net/uploads/saree/crimson-lotus-border-saree-1.png","LAXMIRA"
"41","Royal Wine Zari Saree","An elegant maroon silk saree adorned with intricate gold zari motifs and a richly detailed heritage-inspired border. The deep wine hue combined with traditional craftsmanship creates a regal and timeless appeal, making it perfect for weddings, festive occasions, cultural celebrations, and grand gatherings.","in stock","new","2790 INR","https://laxmira.net/shop/41","https://laxmira.net/uploads/saree/royal-wine-zari-saree-1.png","LAXMIRA"
"42","Royal Violet Temple Border Saree","A regal purple silk saree featuring striking gold zari stripes and an intricately woven temple-inspired pallu. The rich violet hue paired with traditional craftsmanship creates a sophisticated ethnic look, perfect for festive celebrations, weddings, cultural events, and special occasions.","in stock","new","2250 INR","https://laxmira.net/shop/42","https://laxmira.net/uploads/saree/royal-violet-temple-border-saree-1.png","LAXMIRA"
"43","Ocean Mist Ombre Saree","A graceful ombre silk saree blending refreshing shades of aqua green and sky blue, enhanced with delicate crystal-inspired embellishments arranged in elegant geometric patterns. The soft gradient effect and lightweight drape create a modern yet sophisticated look, making it perfect for cocktail parties, festive celebrations, receptions, and special occasions.","in stock","new","2499 INR","https://laxmira.net/shop/43","https://laxmira.net/uploads/saree/ocean-mist-ombre-saree-1.png","LAXMIRA"
